Data,Url
"STATE OF MISSISSIPPI COUNTY OF FORREST SUBSTITUTED TRUSTEE'S NOTICE OF SALE    WHEREAS, on July 26, 2021, Anderson Building Consultant LLC and Kelvin Anderson executed that certain Construction Deed of Trust to Granville Tate, Jr., Trustee, in favor of Trustmark National Bank (Trustmark), which was filed for record on July 28, 2021, in Bk:2370 at Page:646, in the office of the Chancery Clerk of Forrest County, Mississippi, (the Deed of Trust); and WHEREAS, on September 14, 2022, Trustmark appointed and substituted Jim F. Spencer, Jr. as Substituted Trustee in the place and stead of Granville Tate, Jr., the original trustee of the Deed of Trust, as was its right to do under the terms of said Deed of Trust, said Substitution of Trustee being recorded on September 20, 2022, in Bk:2448 at Page:440, in the Chancery Clerk's office of Forrest County, Mississippi; and WHEREAS, default having been made in the terms and conditions of said Deed of Trust, and the entire debt secured having been declared due and payable in accordance with the terms of said Deed of Trust, and the legal holder of said indebtedness, Trustmark, having requested the undersigned Substituted Trustee to execute the trust and sell said land and property in accordance with the terms of said Deed of Trust for the purpose of raising sums due thereunder together with attorney's fees and expenses of sale; NOW, THEREFORE, I, Jim F. Spencer, Jr., the undersigned Substituted Trustee, will sell during the legal hours (being between the hours of 11:00 a.m. and 4:00 p.m.) on the 9th day of November, 2022, at the Northeast main entrance (back door) of the County Courthouse in the City of Hattiesburg, Forrest County, Mississippi, for cash to the highest and best bidder, the following described land and property located and being situated in Forrest County, State of Mississippi and being more particularly described as follows, to-wit:  Lot E-5 of Providence Subdivision, as per the map or plat thereof on file and of record in the office of the Chancery Clerk of Forrest County, Mississippi, at Cabinet B, Slide 67, together with all improvements thereon and appurtenances thereunto belonging.  which is more commonly known as Lot E-5, Providence Subdivision, Hattiesburg, Forrest County, Mississippi 39402.  I will convey only such title as is vested in me as Substituted Trustee.  WITNESS MY SIGNATURE, this the 6th day of October, 2022. /s/ Jim F. Spencer, Jr. Jim F. Spencer, Jr., Substituted Trustee   Publication Dates: 10/14/22, 10/21/22, 10/28/22, and 11/4/22  Jim F. Spencer, Jr. (MSB # 7736) Watkins &amp; Eager PLLC P.O. Box 650 Jackson, Mississippi 39205 601.965.1976 10/14, 10/21, 10/28, 11/4/2022",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/state-of-mississippi-county-of-forrest-2022-11-04-hattiesburg-american-mississippi-e16717
"SUMMONS BY PUBLICATION IN THE CHANCERY COURT OF  FORREST COUNTY, MISSISSIPPI   JENNIFER DEFATTA PETITIONER VS. CAUSE NO.: 22-cv-00306-S   BEVERLY WILES-PEAVY and  UNKNOWN PUTATIVE FATHER   RESPONDENTS  SUMMONS AND NOTICE OF HEARING (Rule 81)   THE STATE OF MISSISSIPPI TO: BEVERLY WILES-PEAVY AND UNKNOWN PUTATIVE FATHER   You have been made a Respondents in the suit filed in this court by Jennifer DeFatta, Petitioner, seeking termination of the parental rights of the of the minor child herein.   You are summoned to appear and defend against said Petition for Termination of Parental Rights and Emergency Relief filed against you in this action at 9:00 A.M. on the 5th day of December, 2022, at the Pearl River County Chancery Courtroom in Poplaville, Mississippi, and in case of your failure to appear and defend a judgment will be entered against you for the relief demanded in the petition, including but not limited to termination of parental rights.  You are not required to file an answer or other pleading, but you may do so if you desire.  ISSUED under my hand and the seal of said Court, this 26th day of October, 2022.  LANCE REID, CHANCERY CLERK  BY: S. B. D.C.  ELIZABETH L. PORTER  Attorney for Petitioner  22 Bellegrass Blvd Hattiesburg, MS 39402 Phone: (601) 545-2889 Fax: (601) 545-2819 Miss. Bar No. 102403 11/04, 11/11, 11/18/22",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/summons-by-publication-in-the-chancery-2022-11-04-hattiesburg-american-mississippi-e16717
"SUBSTITUTED TRUSTEE'S NOTICE OF SALE  WHEREAS, on December 14, 2020, Sheila L. Robbins, a single woman executed a certain deed of trust to Greer Law Firm, PLLC, Trustee for the benefit of Mortgage Electronic Registration Systems, Inc. as beneficiary, as nominee for Caliber Home Loans, Inc., its successors and assigns which deed of trust is of record in the office of the Chancery Clerk of Forrest County, State of Mississippi in Book 2326 at Page 170-186 Instrument No. 814278; and  WHEREAS, LLG MS LLC has heretofore been substituted as Trustee by instrument dated September 23, 2022 and recorded in the aforesaid Chancery Clerk's Office in Book 2450 at Page 579; and  WHEREAS, default having been made in the terms and conditions of said deed of trust and the entire debt secured thereby having been declared to be due and payable in accordance with the terms of said deed of trust, CALIBER HOME LOANS, INC., the legal holder of said indebtedness, having requested the undersigned Substituted Trustee to execute the trust and sell said land and property in accordance with the terms of said deed of trust and for the purpose of raising the sums due thereunder, together with attorney's fees, trustee's fees and expense of sale.  NOW, THEREFORE, I, LLG MS LLC, Substituted Trustee in said deed of trust, will on November 18, 2022 offer for sale at public outcry and sell within legal hours (being between the hours of 11:00 a.m. and 4:00 p.m.), at the Northeast Rear Door of the Paul B. Johnson Chancery Facility of Forrest County, located at Paul B. Johnson Court Building, 641 Main Street, Hattiesburg, MS 39401, to the highest and best bidder for cash or certified funds the following described property situated in Forrest County, State of Mississippi, to-wit:   Lot 8 of Block D of the Westview Heights Subdivision, as per the official map or plat thereof on file and of record in the office of the Chancery Clerk of Forrest County, Mississippi; together with all improvements thereon and appurtenances thereunto belonging.  I WILL CONVEY only such title as vested in me as Substituted Trustee.  LLG MS LLC SUBSTITUTED TRUSTEE  LOGS Legal Group LLP 1080 River Oaks Drive, Suite B-202 Flowood, MS 39232 (601) 981-9299  406 Hillside Dr Petal, MS 39465 22-028283 10/28, 11/4, 11/11/22",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/substituted-trustees-notice-of-sale-2022-11-04-hattiesburg-american-mississippi-336d5e
"IN THE CHANCERY COURT OF FORREST COUNTY, MISSISSIPPI IN MATTER OF THE ESTATE OF JAMES EDWARD WATTS, DECEASED, RONNIE J. WATTS AND DEBRA WATTS BROWN, CO-ADMINISTRATORS  CAUSE NO. 22-PR-00226-G NOTICE TO CREDITORS  Letters of Administration were issued on the 25th day of October, A.D., 2022, to the undersigned Co-Administrators in this Cause by the Chancery Court of Forrest County, Mississippi, on the Estate of James Edward Watts, deceased; and notice is hereby given requiring all persons having claims against the Estate of the said James Edward Watts, deceased, to have the same probated and registered by the Chancery Clerk of Forrest County, Mississippi, within ninety (90) days from the date of first publication of this Notice. Failure to so probate and register any such claims within ninety (90) days from the date of first publication of this Notice will forever bar the same. This the 25th day of October, A.D., 2022 /s/Ronnie J. Watts and Debra Watts Brown, Co-Administrators 10/28 11/4 11/11/2022",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/in-the-chancery-court-of-forrest-county-2022-11-04-hattiesburg-american-mississippi-7b774e
"Notice For Sale  107 Tuscan Avenue Hattiesburg, MS 39401     WHEREAS, in accordance with Section 29-3-77, the Board of Trustees of Hattiesburg Public School District does hereby advertise for sale an abandoned house trailer located at 107 Tuscan Avenue, Hattiesburg, Mississippi 39401.   WHEREAS, the Board of Trustees of Hattiesburg Public School District reserves the right to reject any and all bids and must include a certified check representing the full purchase price for the trailer.   WHEREAS, the Board of Trustees of Hattiesburg Public School District will require the purchaser to remove the abandoned trailer within thirty (30) days of the board accepting the purchase price.   WHEREAS, the sealed bid should be submitted to Hattiesburg Public School District, 301 Mamie Street, Hattiesburg, Mississippi 39401, or before 10:00 a.m. on  November 10, 2022.  WHEREAS, if a bid is accepted, the Board of Trustees of Hattiesburg Public  School District must enter into a residential lease contract within the statutory  requirements. 10/21/2022, 10/28/2022, 11/04/2022",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/notice-for-sale-107-tuscan-avenue-2022-11-04-hattiesburg-american-mississippi-7b8b96
"NOTICE OF PUBLIC AUCTION Legacy Collision Center 1815 Old HWY 11 Purvis, MS 39475 Public Auction to be held at 2:00pm on November 18, 2022 the following vehicle will be sold: 2012 Dodge Ram VIN#3C6JD6CT2CG261848 $17,896  Oct. 28, Nov. 4, 11, 2022",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/notice-of-public-auction-legacy-2022-11-04-hattiesburg-american-mississippi-415290
"SUBSTITUTED TRUSTEE'S NOTICE OF SALE   STATE OF MISSISSIPPI  COUNTY OF Forrest   WHEREAS, on the 15th day of April, 2002, Claude D Naylor Jr, a married man, and Elizabeth Naylor, his wife, executed and delivered a certain Deed of Trust unto CTC Real Estate Services, Trustee for Mortgage Electronic Registration Systems, &not;Inc. as nominee for Countrywide Home Loans, Inc., Beneficiary, to secure an indebtedness therein described, which Deed of Trust is recorded in the office of the Chancery Clerk of Forrest County, Mississippi in Book 1210 at Page 359 Instrument# 73037; and  WHEREAS, on the 19th day of December, 2013, the Holder of said Deed of Trust filed a Loan Modification Agreement of Deed of Trust by instrument recorded in the office of the aforesaid Chancery Clerk of Court in Book 1937 at Page 552 Instrument# 714422; and   WHEREAS, on the 31st day of January, 2012, Mortgage Electronic Registration Systems, Inc., assigned said Deed of Trust unto Bank of America, N.A. Successor by merger to BAC Home Loans Servicing, LP fka Countrywide Home Loans Servicing, LP, by instrument recorded in the office of the aforesaid Chancery Clerk in Book 1825 at Page 0554 Instrument# 686249; and  WHEREAS, on the 26th day of September, 2019 the Holder of said Deed of Trust substituted and appointed Dean Morris, LLC as Substitute Trustee by instrument recorded in the office of the aforesaid Chancery Clerk in Book 2250 at Page 353; and  WHEREAS, default having been made in the payments of the indebtedness secured by the said Deed of Trust, and the holder of said Deed of Trust, having requested the undersigned so to do, on the 2nd day of December, 2022, I will during the lawful hours of between 11:00 a.m. and 4:00 p.m., at public outcry, offer for sale and will sell, at the Northeast main entrance (back door) of the Forrest County Courthouse, Paul B. Johnson, Jr. Chancery Facility, which Chancery Facility is located at 641 Main Street at Hattiesburg, Mississippi, for cash to the highest  bidder, the following described land and property situated in Forrest County, Mississippi, to-wit:   Lot 7 in Block 1 of the Love and St. John Subdivision of the City of Hattiesburg, Forrest County, Mississippi, as per the map or plat thereof on file in the Office of the Chancery Clerk of Forrest County, Mississippi.   I will only convey such title as is vested in me as Substitute Trustee.  WITNESS MY SIGNATURE, this 26th day of October, 2022.  Dean Morris, LLC Substitute Trustee 855 S Pear Orchard Rd., Ste. 404, Bldg. 400 Ridgeland, MS 39157 (318) 330-9020  jeh/F19-0428 11/04/22, 11/11/22, 11/18/22, 11/25/22",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/substituted-trustees-notice-of-sale-2022-11-04-hattiesburg-american-mississippi-336d5e
"ADVERTISEMENT FOR BIDS   The Pearl to Leaf Rivers Rails to Trails Recreational District will receive sealed bids at the James Lynn Cartlidge Gateway, 2895 West 4th Street, Hattiesburg, Mississippi, 39401 until 2:00 p.m. on December 5, 2022, for furnishing all labor, materials and equipment required to complete the Hot Mix Asphalt Overlay of Trail  Lynn Cartlidge Trailhead to Lott Circle, as described in and reflected by the plans and specifications prepared by The Walker Associates, Engineers-Planners-Designers, PLLC, Hattiesburg, Mississippi, dated October 2022, immediately after which time said sealed proposals shall be publicly opened and read.   Detailed drawings and specifications are on file, and may be examined, at the office of The Pearl to Leaf Rivers Rails to Trails Recreational District, 2895 West 4th Street, Hattiesburg, Mississippi, and in the office of The Walker Associates, Engineers-Planners- Designers, PLLC, 2203 Hardy Street, Hattiesburg, Mississippi.  Plans and specifications are being made available via paper copy. Plan Holders are required to log-in or register for an account to view or order bid documents at www.twaplanroom.com. Bid documents are non-refundable and must be purchased through the website. For questions regarding website registration and online orders, please contact Plan House at 601-336-6378. For questions related to the contract documents, please contact The Walker Associates at 601-583-2127. No partial sets of drawings or bid documents will be issued.  All Proposals shall be submitted on Bid Forms provided with the specifications. Bids may be submitted in person, or for those interested, bids can be electronically submitted at www.twaplanroom.com under the project page. No oral, telegraphic, telephonic, or e-mail proposals will be considered.  Bids will be accepted only under the name of the Bidder to whom plans and proposals have been issued and whose name appears on the official list of planholders. The proposal and contract documents in its entirety shall be submitted in a sealed envelope with the current Certificate of Responsibility Number of the bidder on the outside of each sealed envelope, said envelope being plainly marked Hot Mix Asphalt Overlay of Trail  Lynn Cartlidge Trailhead to Lott Circle, Pearl to Leaf Rivers Rails to Trails Recreational District.  Proposals shall be submitted in duplicate only upon the blank bid forms provided with the drawings and general conditions and scope of work and must be accompanied by Bid Security in the form of a certified check or acceptable bid bond in an amount equal to at least five percent (5%) of the base bid. Said security to be forfeited, as liquidated damages, not penalty, by a bidder who may be awarded the contract, but who fails to carry out the terms of the proposal, execute the contract and post the required performance bond in the form and amount, and within the time specified. The bid bond, or the certified check, if used in lieu thereof, shall be payable unconditionally to Pearl to Leaf Rivers Rails to Trails Recreational District.  Bids on the project must be received on or before the time specified above, and no bid may be withdrawn after the scheduled closing time and date for the receipt of bids for a period of sixty (60) days. All bids submitted must comply with the requirements of Chapter 3, Title 31 (Sections 31-3-1, et. Seq.) Of the Mississippi Code of 1972, as amended, and the performance of any contract shall be bonded in accordance with Chapter 5, Title 31 of the Mississippi Code of 1972, as amended.  Bidders who are non-residents of the State of Mississippi must also comply with the provisions of Section 31-3-21(3) of the Mississippi Code of 1972, as amended.  The award of the Contract, if it is awarded, will be to the lowest responsible Bidder whose qualifications indicate that the award will be in the best interest of the Pearl to Leaf Rivers Rails to Trails Recreational District. The Pearl to Leaf Rivers Rails to Trails Recreational District reserves the right to reject any and all bids and to waive informalities.  No Bidder may withdraw his bid within 60 days after the date of opening thereof.  Pearl to Leaf Rivers Rails to Trails Recreational District   By: /s/ Lynn Cartlidge, President  11/4, 11/11",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/advertisement-for-bids-the-pearl-to-leaf-2022-11-04-hattiesburg-american-mississippi-336d5e
"Agricultural Lease   Notice is hereby given that the Forrest County School District will accept sealed bids up to and no later than 5 p.m. November 14, 2022, for Agricultural rights of the following parcel of land:  +/- 30.0 acres located in Section 16, Township 5 North, Range 13 West Forrest County Mississippi.   Lease # 001120 Minimum Bid is $100.00 per acre.  The bids shall be opened during the Board meeting as prescribed by state law. The lease shall be for a period of 5 years with payments made annually.  The Forrest County School District reserves the right to reject any and all bids.  For more information or a bid packet call Mike Papas @ 601-596-6022 or email at  mpapas@fcsd.us  11/4,11/11/2022",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/agricultural-lease-notice-is-hereby-2022-11-04-hattiesburg-american-mississippi-e16717
"Hunting/Fishing Lease   Notice is hereby given that the Forrest County School District will accept sealed bids up to and no later than 5 p.m. November 14, 2022, for Hunting / Fishing rights of the following parcel of land:  +/- 32.0 acres located in Section 16, Township 1 North, Range 12 West Forrest County Mississippi.   Lease # 711789 Minimum Bid is $10.00 per acre.  The bids shall be opened during the Board meeting as prescribed by state law. The lease shall be for a period of 5 years with payments made annually.  The Forrest County School District reserves the right to reject any and all bids.  For more information or a bid packet call Mike Papas @ 601-596-6022 or email at  mpapas@fcsd.us  11/04,11/11/2022",https://www.hattiesburgamerican.com/public-notices/notice/11/04/2022/hunting-fishing-lease-notice-is-hereby-2022-11-04-hattiesburg-american-mississippi-e16717
